"gene_symbol","functional_axis","n_supporting_terms","sources","example_terms"
"ALOX15","Metabolism/metabolic reprogramming",10,"GO; KEGG","lipid droplet | lipid metabolic process | arachidonic acid metabolic process | fatty acid oxidation | lipid oxidation"
"IDO1","Metabolism/metabolic reprogramming",7,"GO; KEGG","tryptophan 2,3-dioxygenase activity | tryptophan catabolic process | tryptophan catabolic process to kynurenine | 'de novo' NAD biosynthetic process from tryptophan | Tryptophan metabolism - Homo sapiens (human)"
"ARG1","Metabolism/metabolic reprogramming",6,"GO; KEGG","arginine catabolic process | arginine catabolic process to ornithine | Arginine biosynthesis - Homo sapiens (human) | Arginine and proline metabolism - Homo sapiens (human) | Metabolic pathways - Homo sapiens (human)"
"GSS","Metabolism/metabolic reprogramming",5,"GO; KEGG","amino acid metabolic process | Cysteine and methionine metabolism - Homo sapiens (human) | Glutathione metabolism - Homo sapiens (human) | Metabolic pathways - Homo sapiens (human) | Biosynthesis of cofactors - Homo sapiens (human)"
"CHI3L1","Metabolism/metabolic reprogramming",2,"GO","carbohydrate metabolic process | chitin catabolic process"
"HP","Metabolism/metabolic reprogramming",1,"GO","negative regulation of hydrogen peroxide catabolic process"
"IL6R","Metabolism/metabolic reprogramming",1,"KEGG","Non-alcoholic fatty liver disease - Homo sapiens (human)"
"MMP8","Metabolism/metabolic reprogramming",1,"GO","collagen catabolic process"
"TPST1","Metabolism/metabolic reprogramming",1,"GO","3'-phosphoadenosine 5'-phosphosulfate metabolic process"
"GSS","Oxidative stress/redox biology",5,"GO; KEGG","glutathione synthase activity | glutathione biosynthetic process | response to oxidative stress | glutathione binding | Glutathione metabolism - Homo sapiens (human)"
"ALOX15","Oxidative stress/redox biology",3,"GO","fatty acid oxidation | lipid oxidation | response to endoplasmic reticulum stress"
"HP","Oxidative stress/redox biology",2,"GO","response to hydrogen peroxide | negative regulation of hydrogen peroxide catabolic process"
"IDO1","Oxidative stress/redox biology",1,"GO","multicellular organismal response to stress"
"IL6R","Signal transduction/receptor axis",19,"GO; KEGG","ciliary neurotrophic factor receptor activity | interleukin-6 receptor activity | interleukin-11 receptor activity | interleukin-6 receptor binding | interleukin-6 receptor complex"
"CXCL10","Signal transduction/receptor axis",16,"GO; KEGG","signaling receptor binding | signal transduction | cell surface receptor signaling pathway | G protein-coupled receptor signaling pathway | adenylate cyclase-activating G protein-coupled receptor signaling pathway"
"HRH4","Signal transduction/receptor axis",8,"GO; KEGG","histamine receptor activity | G protein-coupled serotonin receptor activity | G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger | adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway | G protein-coupled acetylcholine receptor activity"
"IL5RA","Signal transduction/receptor axis",8,"GO; KEGG","cytokine receptor activity | interleukin-5 receptor activity | signal transduction | cytokine-mediated signaling pathway | interleukin-5-mediated signaling pathway"
"BMX","Signal transduction/receptor axis",5,"GO","protein phosphorylation | signal transduction | intracellular signal transduction | protein autophosphorylation | B cell receptor signaling pathway"
"CLEC4D","Signal transduction/receptor axis",5,"GO; KEGG","immunoglobulin receptor binding | Fc-gamma receptor signaling pathway | pattern recognition receptor activity | positive regulation of canonical NF-kappaB signal transduction | C-type lectin receptor signaling pathway - Homo sapiens (human)"
"KREMEN1","Signal transduction/receptor axis",3,"GO","Wnt signaling pathway | regulation of canonical Wnt signaling pathway | negative regulation of canonical Wnt signaling pathway"
"CHI3L1","Signal transduction/receptor axis",2,"GO","positive regulation of peptidyl-threonine phosphorylation | positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction"
"ALOX15","Signal transduction/receptor axis",1,"GO","regulation of peroxisome proliferator activated receptor signaling pathway"
"ARG1","Signal transduction/receptor axis",1,"GO","negative regulation of type II interferon-mediated signaling pathway"
"MMP8","Signal transduction/receptor axis",1,"GO","positive regulation of tumor necrosis factor-mediated signaling pathway"
"PPP1R1C","Signal transduction/receptor axis",1,"GO","intracellular signal transduction"
"MMP8","Tissue remodeling/extracellular matrix",4,"GO","extracellular matrix disassembly | extracellular matrix organization | collagen catabolic process | collagen-containing extracellular matrix"
"ALOX15","Tissue remodeling/extracellular matrix",2,"GO","positive regulation of cell-substrate adhesion | wound healing"
"CHI3L1","Tissue remodeling/extracellular matrix",2,"GO","extracellular matrix structural constituent | extracellular matrix"
"BMX","Tissue remodeling/extracellular matrix",1,"GO","cell adhesion"
"CLC","Tissue remodeling/extracellular matrix",1,"GO","collagen-containing extracellular matrix"
"PCOLCE2","Tissue remodeling/extracellular matrix",1,"GO","collagen binding"
"SLPI","Tissue remodeling/extracellular matrix",1,"GO","collagen-containing extracellular matrix"
"WFDC1","Tissue remodeling/extracellular matrix",1,"GO","negative regulation of wound healing"
"CXCL10","Vascular/endothelial axis",3,"GO","negative regulation of angiogenesis | endothelial cell activation | regulation of endothelial tube morphogenesis"
"CHI3L1","Vascular/endothelial axis",1,"GO","positive regulation of angiogenesis"
"IL6R","Vascular/endothelial axis",1,"GO","vascular endothelial growth factor production"
