"gene_symbol","functional_axis","source","matched_term","context"
"CXCL10","Leukocyte/neutrophil activation","GO","positive chemotaxis","BP"
"CXCL10","Immune/inflammatory response","GO","antimicrobial humoral immune response mediated by antimicrobial peptide","BP"
"CXCL10","Acute-phase/antimicrobial response","GO","antimicrobial humoral immune response mediated by antimicrobial peptide","BP"
"CXCL10","Immune/inflammatory response","GO","chemokine-mediated signaling pathway","BP"
"CXCL10","Signal transduction/receptor axis","GO","chemokine-mediated signaling pathway","BP"
"CXCL10","Immune/inflammatory response","GO","cellular response to lipopolysaccharide","BP"
"CXCL10","Leukocyte/neutrophil activation","GO","positive regulation of monocyte chemotaxis","BP"
"CXCL10","Immune/inflammatory response","GO","cellular response to interleukin-17","BP"
"CXCL10","Immune/inflammatory response","GO","antiviral innate immune response","BP"
"CXCL10","Acute-phase/antimicrobial response","GO","antiviral innate immune response","BP"
"CXCL10","Vascular/endothelial axis","GO","regulation of endothelial tube morphogenesis","BP"
"CXCL10","Leukocyte/neutrophil activation","GO","positive regulation of T cell migration","BP"
"HRH4","Signal transduction/receptor axis","GO","histamine receptor activity","MF"
"HRH4","Signal transduction/receptor axis","GO","G protein-coupled serotonin receptor activity","MF"
"HRH4","Immune/inflammatory response","GO","inflammatory response","BP"
"HRH4","Signal transduction/receptor axis","GO","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","BP"
"HRH4","Signal transduction/receptor axis","GO","adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway","BP"
"HRH4","Signal transduction/receptor axis","GO","G protein-coupled acetylcholine receptor activity","MF"
"HRH4","Signal transduction/receptor axis","GO","regulation of MAPK cascade","BP"
"HRH4","Signal transduction/receptor axis","GO","G protein-coupled serotonin receptor signaling pathway","BP"
"IDO1","Immune/inflammatory response","GO","positive regulation of chronic inflammatory response","BP"
"IDO1","Immune/inflammatory response","GO","positive regulation of type 2 immune response","BP"
"IDO1","Metabolism/metabolic reprogramming","GO","tryptophan 2,3-dioxygenase activity","MF"
"IDO1","Metabolism/metabolic reprogramming","GO","tryptophan catabolic process","BP"
"IDO1","Immune/inflammatory response","GO","inflammatory response","BP"
"IDO1","Metabolism/metabolic reprogramming","GO","tryptophan catabolic process to kynurenine","BP"
"IDO1","Immune/inflammatory response","GO","response to lipopolysaccharide","BP"
"IDO1","Immune/inflammatory response","GO","negative regulation of interleukin-10 production","BP"
"IDO1","Immune/inflammatory response","GO","positive regulation of interleukin-12 production","BP"
"IDO1","Oxidative stress/redox biology","GO","multicellular organismal response to stress","BP"
"IDO1","Metabolism/metabolic reprogramming","GO","'de novo' NAD biosynthetic process from tryptophan","BP"
"IL5RA","Immune/inflammatory response","GO","inflammatory response to antigenic stimulus","BP"
"IL5RA","Immune/inflammatory response","GO","cytokine receptor activity","MF"
"IL5RA","Signal transduction/receptor axis","GO","cytokine receptor activity","MF"
"IL5RA","Immune/inflammatory response","GO","interleukin-5 receptor activity","MF"
"IL5RA","Signal transduction/receptor axis","GO","interleukin-5 receptor activity","MF"
"IL5RA","Signal transduction/receptor axis","GO","signal transduction","BP"
"IL5RA","Immune/inflammatory response","GO","cytokine-mediated signaling pathway","BP"
"IL5RA","Signal transduction/receptor axis","GO","cytokine-mediated signaling pathway","BP"
"IL5RA","Immune/inflammatory response","GO","cytokine binding","MF"
"IL5RA","Immune/inflammatory response","GO","regulation of interleukin-5 production","BP"
"IL5RA","Immune/inflammatory response","GO","interleukin-5-mediated signaling pathway","BP"
"IL5RA","Signal transduction/receptor axis","GO","interleukin-5-mediated signaling pathway","BP"
"IL5RA","Signal transduction/receptor axis","GO","receptor complex","CC"
"IL5RA","Leukocyte/neutrophil activation","GO","positive regulation of leukocyte proliferation","BP"
"SLPI","Immune/inflammatory response","GO","immune response","BP"
"SLPI","Immune/inflammatory response","GO","antibacterial humoral response","BP"
"SLPI","Immune/inflammatory response","GO","response to lipopolysaccharide","BP"
"SLPI","Immune/inflammatory response","GO","innate immune response","BP"
"SLPI","Acute-phase/antimicrobial response","GO","innate immune response","BP"
"SLPI","Tissue remodeling/extracellular matrix","GO","collagen-containing extracellular matrix","CC"
"BMX","Immune/inflammatory response","GO","adaptive immune response","BP"
"BMX","Signal transduction/receptor axis","GO","protein phosphorylation","BP"
"BMX","Tissue remodeling/extracellular matrix","GO","cell adhesion","BP"
"BMX","Signal transduction/receptor axis","GO","signal transduction","BP"
"BMX","Signal transduction/receptor axis","GO","intracellular signal transduction","BP"
"BMX","Signal transduction/receptor axis","GO","protein autophosphorylation","BP"
"BMX","Signal transduction/receptor axis","GO","B cell receptor signaling pathway","BP"
"CLC","Immune/inflammatory response","GO","regulation of T cell cytokine production","BP"
"CLC","Tissue remodeling/extracellular matrix","GO","collagen-containing extracellular matrix","CC"
"GSS","Oxidative stress/redox biology","GO","glutathione synthase activity","MF"
"GSS","Metabolism/metabolic reprogramming","GO","amino acid metabolic process","BP"
"GSS","Oxidative stress/redox biology","GO","glutathione biosynthetic process","BP"
"GSS","Oxidative stress/redox biology","GO","response to oxidative stress","BP"
"GSS","Oxidative stress/redox biology","GO","glutathione binding","MF"
"HP","Immune/inflammatory response","GO","immune system process","BP"
"HP","Immune/inflammatory response","GO","defense response","BP"
"HP","Acute-phase/antimicrobial response","GO","acute-phase response","BP"
"HP","Oxidative stress/redox biology","GO","response to hydrogen peroxide","BP"
"HP","Immune/inflammatory response","GO","defense response to bacterium","BP"
"HP","Oxidative stress/redox biology","GO","negative regulation of hydrogen peroxide catabolic process","BP"
"HP","Metabolism/metabolic reprogramming","GO","negative regulation of hydrogen peroxide catabolic process","BP"
"IL6R","Immune/inflammatory response","GO","hepatic immune response","BP"
"IL6R","Leukocyte/neutrophil activation","GO","monocyte chemotaxis","BP"
"IL6R","Leukocyte/neutrophil activation","GO","positive regulation of leukocyte chemotaxis","BP"
"IL6R","Signal transduction/receptor axis","GO","ciliary neurotrophic factor receptor activity","MF"
"IL6R","Immune/inflammatory response","GO","interleukin-6 receptor activity","MF"
"IL6R","Signal transduction/receptor axis","GO","interleukin-6 receptor activity","MF"
"IL6R","Immune/inflammatory response","GO","interleukin-11 receptor activity","MF"
"IL6R","Signal transduction/receptor axis","GO","interleukin-11 receptor activity","MF"
"IL6R","Immune/inflammatory response","GO","interleukin-6 receptor binding","MF"
"IL6R","Signal transduction/receptor axis","GO","interleukin-6 receptor binding","MF"
"IL6R","Immune/inflammatory response","GO","interleukin-6 receptor complex","CC"
"IL6R","Signal transduction/receptor axis","GO","interleukin-6 receptor complex","CC"
"IL6R","Acute-phase/antimicrobial response","GO","acute-phase response","BP"
"IL6R","Vascular/endothelial axis","GO","vascular endothelial growth factor production","BP"
"IL6R","Immune/inflammatory response","GO","cytokine-mediated signaling pathway","BP"
"IL6R","Signal transduction/receptor axis","GO","cytokine-mediated signaling pathway","BP"
"IL6R","Immune/inflammatory response","GO","interleukin-11 binding","MF"
"IL6R","Immune/inflammatory response","GO","interleukin-6 binding","MF"
"IL6R","Immune/inflammatory response","GO","positive regulation of chemokine production","BP"
"IL6R","Immune/inflammatory response","GO","positive regulation of interleukin-6 production","BP"
"IL6R","Immune/inflammatory response","GO","response to cytokine","BP"
"IL6R","Immune/inflammatory response","GO","interleukin-11-mediated signaling pathway","BP"
"IL6R","Signal transduction/receptor axis","GO","interleukin-11-mediated signaling pathway","BP"
"IL6R","Signal transduction/receptor axis","GO","positive regulation of tyrosine phosphorylation of STAT protein","BP"
"IL6R","Signal transduction/receptor axis","GO","receptor complex","CC"
"IL6R","Signal transduction/receptor axis","GO","positive regulation of peptidyl-tyrosine phosphorylation","BP"
"IL6R","Immune/inflammatory response","GO","defense response to Gram-negative bacterium","BP"
"IL6R","Immune/inflammatory response","GO","interleukin-6-mediated signaling pathway","BP"
"IL6R","Signal transduction/receptor axis","GO","interleukin-6-mediated signaling pathway","BP"
"IL6R","Signal transduction/receptor axis","GO","ciliary neurotrophic factor receptor complex","CC"
"IL6R","Signal transduction/receptor axis","GO","ciliary neurotrophic factor-mediated signaling pathway","BP"
"IL6R","Signal transduction/receptor axis","GO","extrinsic apoptotic signaling pathway","BP"
"KREMEN1","Signal transduction/receptor axis","GO","Wnt signaling pathway","BP"
"KREMEN1","Signal transduction/receptor axis","GO","regulation of canonical Wnt signaling pathway","BP"
"KREMEN1","Signal transduction/receptor axis","GO","negative regulation of canonical Wnt signaling pathway","BP"
"MMP8","Tissue remodeling/extracellular matrix","GO","extracellular matrix disassembly","BP"
"MMP8","Tissue remodeling/extracellular matrix","GO","extracellular matrix organization","BP"
"MMP8","Metabolism/metabolic reprogramming","GO","collagen catabolic process","BP"
"MMP8","Tissue remodeling/extracellular matrix","GO","collagen catabolic process","BP"
"MMP8","Tissue remodeling/extracellular matrix","GO","collagen-containing extracellular matrix","CC"
"MMP8","Immune/inflammatory response","GO","cellular response to lipopolysaccharide","BP"
"MMP8","Immune/inflammatory response","GO","positive regulation of neuroinflammatory response","BP"
"MMP8","Signal transduction/receptor axis","GO","positive regulation of tumor necrosis factor-mediated signaling pathway","BP"
"PCOLCE2","Tissue remodeling/extracellular matrix","GO","collagen binding","MF"
"SAA2","Acute-phase/antimicrobial response","GO","acute-phase response","BP"
"WFDC1","Immune/inflammatory response","GO","negative regulation of inflammatory response","BP"
"WFDC1","Tissue remodeling/extracellular matrix","GO","negative regulation of wound healing","BP"
"PPP1R1C","Signal transduction/receptor axis","GO","intracellular signal transduction","BP"
"TPST1","Immune/inflammatory response","GO","inflammatory response","BP"
"TPST1","Metabolism/metabolic reprogramming","GO","3'-phosphoadenosine 5'-phosphosulfate metabolic process","BP"
"ALOX15","Metabolism/metabolic reprogramming","KEGG","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism Metabolism Lipid metabolism"
"ALOX15","Metabolism/metabolic reprogramming","KEGG","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism Metabolism Lipid metabolism"
"ALOX15","Metabolism/metabolic reprogramming","KEGG","Metabolic pathways - Homo sapiens (human)","Unclassified Unclassified Unclassified"
"ARG1","Metabolism/metabolic reprogramming","KEGG","Arginine biosynthesis - Homo sapiens (human)","Metabolism; Amino acid metabolism Metabolism Amino acid metabolism"
"ARG1","Metabolism/metabolic reprogramming","KEGG","Arginine and proline metabolism - Homo sapiens (human)","Metabolism; Amino acid metabolism Metabolism Amino acid metabolism"
"ARG1","Metabolism/metabolic reprogramming","KEGG","Metabolic pathways - Homo sapiens (human)","Unclassified Unclassified Unclassified"
"ARG1","Metabolism/metabolic reprogramming","KEGG","Biosynthesis of amino acids - Homo sapiens (human)","Unclassified Unclassified Unclassified"
"CLEC4D","Immune/inflammatory response","KEGG","C-type lectin receptor signaling pathway - Homo sapiens (human)","Organismal Systems; Immune system Organismal Systems Immune system"
"CLEC4D","Signal transduction/receptor axis","KEGG","C-type lectin receptor signaling pathway - Homo sapiens (human)","Organismal Systems; Immune system Organismal Systems Immune system"
"CXCL10","Immune/inflammatory response","KEGG","Cytokine-cytokine receptor interaction - Homo sapiens (human)","Environmental Information Processing; Signaling molecules and interaction Environmental Information Processing Signaling molecules and interaction"
"CXCL10","Signal transduction/receptor axis","KEGG","Cytokine-cytokine receptor interaction - Homo sapiens (human)","Environmental Information Processing; Signaling molecules and interaction Environmental Information Processing Signaling molecules and interaction"
"CXCL10","Immune/inflammatory response","KEGG","Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)","Environmental Information Processing; Signaling molecules and interaction Environmental Information Processing Signaling molecules and interaction"
"CXCL10","Signal transduction/receptor axis","KEGG","Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)","Environmental Information Processing; Signaling molecules and interaction Environmental Information Processing Signaling molecules and interaction"
"CXCL10","Immune/inflammatory response","KEGG","Chemokine signaling pathway - Homo sapiens (human)","Organismal Systems; Immune system Organismal Systems Immune system"
"CXCL10","Signal transduction/receptor axis","KEGG","Chemokine signaling pathway - Homo sapiens (human)","Organismal Systems; Immune system Organismal Systems Immune system"
"CXCL10","Immune/inflammatory response","KEGG","Toll-like receptor signaling pathway - Homo sapiens (human)","Organismal Systems; Immune system Organismal Systems Immune system"
"CXCL10","Signal transduction/receptor axis","KEGG","Toll-like receptor signaling pathway - Homo sapiens (human)","Organismal Systems; Immune system Organismal Systems Immune system"
"CXCL10","Immune/inflammatory response","KEGG","RIG-I-like receptor signaling pathway - Homo sapiens (human)","Organismal Systems; Immune system Organismal Systems Immune system"
"CXCL10","Signal transduction/receptor axis","KEGG","RIG-I-like receptor signaling pathway - Homo sapiens (human)","Organismal Systems; Immune system Organismal Systems Immune system"
"CXCL10","Immune/inflammatory response","KEGG","Cytosolic DNA-sensing pathway - Homo sapiens (human)","Organismal Systems; Immune system Organismal Systems Immune system"
"CXCL10","Immune/inflammatory response","KEGG","IL-17 signaling pathway - Homo sapiens (human)","Organismal Systems; Immune system Organismal Systems Immune system"
"CXCL10","Signal transduction/receptor axis","KEGG","IL-17 signaling pathway - Homo sapiens (human)","Organismal Systems; Immune system Organismal Systems Immune system"
"CXCL10","Immune/inflammatory response","KEGG","TNF signaling pathway - Homo sapiens (human)","Environmental Information Processing; Signal transduction Environmental Information Processing Signal transduction"
"CXCL10","Signal transduction/receptor axis","KEGG","TNF signaling pathway - Homo sapiens (human)","Environmental Information Processing; Signal transduction Environmental Information Processing Signal transduction"
"CXCL10","Immune/inflammatory response","KEGG","Epstein-Barr virus infection - Homo sapiens (human)","Human Diseases; Infectious disease: viral Human Diseases Infectious disease: viral"
"HRH4","Signal transduction/receptor axis","KEGG","Neuroactive ligand-receptor interaction - Homo sapiens (human)","Environmental Information Processing; Signaling molecules and interaction Environmental Information Processing Signaling molecules and interaction"
"IDO1","Metabolism/metabolic reprogramming","KEGG","Tryptophan metabolism - Homo sapiens (human)","Metabolism; Amino acid metabolism Metabolism Amino acid metabolism"
"IDO1","Metabolism/metabolic reprogramming","KEGG","Metabolic pathways - Homo sapiens (human)","Unclassified Unclassified Unclassified"
"IDO1","Metabolism/metabolic reprogramming","KEGG","Biosynthesis of cofactors - Homo sapiens (human)","Unclassified Unclassified Unclassified"
"IL5RA","Immune/inflammatory response","KEGG","Cytokine-cytokine receptor interaction - Homo sapiens (human)","Environmental Information Processing; Signaling molecules and interaction Environmental Information Processing Signaling molecules and interaction"
"IL5RA","Signal transduction/receptor axis","KEGG","Cytokine-cytokine receptor interaction - Homo sapiens (human)","Environmental Information Processing; Signaling molecules and interaction Environmental Information Processing Signaling molecules and interaction"
"IL5RA","Signal transduction/receptor axis","KEGG","JAK-STAT signaling pathway - Homo sapiens (human)","Environmental Information Processing; Signal transduction Environmental Information Processing Signal transduction"
"IL5RA","Immune/inflammatory response","KEGG","Hematopoietic cell lineage - Homo sapiens (human)","Organismal Systems; Immune system Organismal Systems Immune system"
"GSS","Metabolism/metabolic reprogramming","KEGG","Cysteine and methionine metabolism - Homo sapiens (human)","Metabolism; Amino acid metabolism Metabolism Amino acid metabolism"
"GSS","Oxidative stress/redox biology","KEGG","Glutathione metabolism - Homo sapiens (human)","Metabolism; Metabolism of other amino acids Metabolism Metabolism of other amino acids"
"GSS","Metabolism/metabolic reprogramming","KEGG","Glutathione metabolism - Homo sapiens (human)","Metabolism; Metabolism of other amino acids Metabolism Metabolism of other amino acids"
"GSS","Metabolism/metabolic reprogramming","KEGG","Metabolic pathways - Homo sapiens (human)","Unclassified Unclassified Unclassified"
"GSS","Metabolism/metabolic reprogramming","KEGG","Biosynthesis of cofactors - Homo sapiens (human)","Unclassified Unclassified Unclassified"
"IL6R","Immune/inflammatory response","KEGG","Cytokine-cytokine receptor interaction - Homo sapiens (human)","Environmental Information Processing; Signaling molecules and interaction Environmental Information Processing Signaling molecules and interaction"
"IL6R","Signal transduction/receptor axis","KEGG","Cytokine-cytokine receptor interaction - Homo sapiens (human)","Environmental Information Processing; Signaling molecules and interaction Environmental Information Processing Signaling molecules and interaction"
"IL6R","Immune/inflammatory response","KEGG","Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)","Environmental Information Processing; Signaling molecules and interaction Environmental Information Processing Signaling molecules and interaction"
"IL6R","Signal transduction/receptor axis","KEGG","Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)","Environmental Information Processing; Signaling molecules and interaction Environmental Information Processing Signaling molecules and interaction"
"IL6R","Signal transduction/receptor axis","KEGG","HIF-1 signaling pathway - Homo sapiens (human)","Environmental Information Processing; Signal transduction Environmental Information Processing Signal transduction"
"IL6R","Signal transduction/receptor axis","KEGG","PI3K-Akt signaling pathway - Homo sapiens (human)","Environmental Information Processing; Signal transduction Environmental Information Processing Signal transduction"
"IL6R","Signal transduction/receptor axis","KEGG","JAK-STAT signaling pathway - Homo sapiens (human)","Environmental Information Processing; Signal transduction Environmental Information Processing Signal transduction"
"IL6R","Immune/inflammatory response","KEGG","Hematopoietic cell lineage - Homo sapiens (human)","Organismal Systems; Immune system Organismal Systems Immune system"
"IL6R","Immune/inflammatory response","KEGG","Th17 cell differentiation - Homo sapiens (human)","Organismal Systems; Immune system Organismal Systems Immune system"
"IL6R","Metabolism/metabolic reprogramming","KEGG","Non-alcoholic fatty liver disease - Homo sapiens (human)","Human Diseases; Endocrine and metabolic disease Human Diseases Endocrine and metabolic disease"
"IL6R","Immune/inflammatory response","KEGG","Human cytomegalovirus infection - Homo sapiens (human)","Human Diseases; Infectious disease: viral Human Diseases Infectious disease: viral"
