gene_symbol,n_functional_axes,total_functional_terms,functional_axes,example_functional_terms,n_kegg_pathways_with_compounds,total_compound_metabolite_links,example_compounds,n_kegg_pathways,kegg_route_classes,example_kegg_pathways,functional_metabolic_score
HP,4.0,7.0,Acute-phase/antimicrobial response; Immune/inflammatory response; Metabolism/metabolic reprogramming; Oxidative stress/redox biology,acute-phase response | immune system process | defense response | defense response to bacterium | negative regulation of hydrogen peroxide catabolic process | response to hydrogen peroxide | negative regulation of hydrogen peroxide catabolic process,0.0,0.0,,0.0,,,8.0
MMP8,4.0,8.0,Immune/inflammatory response; Metabolism/metabolic reprogramming; Signal transduction/receptor axis; Tissue remodeling/extracellular matrix,cellular response to lipopolysaccharide | positive regulation of neuroinflammatory response | collagen catabolic process | positive regulation of tumor necrosis factor-mediated signaling pathway | extracellular matrix disassembly | extracellular matrix organization | collagen catabolic process | collagen-containing extracellular matrix,0.0,0.0,,0.0,,,8.0
AQP4,0.0,0.0,,,2.0,176.0,"H2O | CO2 | Acetyl-CoA | 2-Oxoglutarate | D-Glucose | Glutathione | H+ | Choline | H2O | 3',5'-Cyclic AMP",2.0,Organismal Systems,Vasopressin-regulated water reabsorption - Homo sapiens (human) | Bile secretion - Homo sapiens (human),7.176149732573829
BMX,3.0,7.0,Immune/inflammatory response; Signal transduction/receptor axis; Tissue remodeling/extracellular matrix,adaptive immune response | protein phosphorylation | signal transduction | intracellular signal transduction | protein autophosphorylation | B cell receptor signaling pathway | cell adhesion,0.0,0.0,,0.0,,,6.0
SLPI,3.0,6.0,Acute-phase/antimicrobial response; Immune/inflammatory response; Tissue remodeling/extracellular matrix,innate immune response | immune response | antibacterial humoral response | response to lipopolysaccharide | innate immune response | collagen-containing extracellular matrix,0.0,0.0,,0.0,,,6.0
CLC,2.0,2.0,Immune/inflammatory response; Tissue remodeling/extracellular matrix,regulation of T cell cytokine production | collagen-containing extracellular matrix,0.0,0.0,,0.0,,,4.0
TPST1,2.0,2.0,Immune/inflammatory response; Metabolism/metabolic reprogramming,inflammatory response | 3'-phosphoadenosine 5'-phosphosulfate metabolic process,0.0,0.0,,0.0,,,4.0
WFDC1,2.0,2.0,Immune/inflammatory response; Tissue remodeling/extracellular matrix,negative regulation of inflammatory response | negative regulation of wound healing,0.0,0.0,,0.0,,,4.0
KREMEN1,1.0,3.0,Signal transduction/receptor axis,Wnt signaling pathway | regulation of canonical Wnt signaling pathway | negative regulation of canonical Wnt signaling pathway,0.0,0.0,,0.0,,,2.0
PCOLCE2,1.0,1.0,Tissue remodeling/extracellular matrix,collagen binding,0.0,0.0,,0.0,,,2.0
PPP1R1C,1.0,1.0,Signal transduction/receptor axis,intracellular signal transduction,0.0,0.0,,0.0,,,2.0
SAA2,1.0,1.0,Acute-phase/antimicrobial response,acute-phase response,0.0,0.0,,0.0,,,2.0
ADGRE4P,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
ANKRD22,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
CUTALP,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
LINC00189,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
MCEMP1,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
MIR3939,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
MIR548A1,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
ZNF608,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
