"queryItem","queryIndex","stringId","ncbiTaxonId","taxonName","preferredName","annotation"
"CLC",11,"9606.ENSP00000221804",9606,"Homo sapiens","CLC","Galectin-10; Regulates immune responses through the recognition of cell- surface glycans. Essential for the anergy and suppressive function of CD25-positive regulatory T-cells (Treg)."
"GSS",12,"9606.ENSP00000495750",9606,"Homo sapiens","GSS","Glutathione synthetase."
"HP",13,"9606.ENSP00000348170",9606,"Homo sapiens","HP","Haptoglobin alpha chain; As a result of hemolysis, hemoglobin is found to accumulate in the kidney and is secreted in the urine. Haptoglobin captures, and combines with free plasma hemoglobin to allow hepatic recycling of heme iron and to prevent kidney damage. Haptoglobin also acts as an antioxidant, has antibacterial activity, and plays a role in modulating many aspects of the acute phase response. Hemoglobin/haptoglobin complexes are rapidly cleared by the macrophage CD163 scavenger receptor expressed on the surface of liver Kupfer cells through an endocytic lysosomal degradation pathway."
"IL6R",14,"9606.ENSP00000357470",9606,"Homo sapiens","IL6R","Interleukin-6 receptor subunit alpha; Part of the receptor for interleukin 6. Binds to IL6 with low affinity, but does not transduce a signal. Signal activation necessitate an association with IL6ST. Activation may lead to the regulation of the immune response, acute-phase reactions and hematopoiesis."
"KREMEN1",15,"9606.ENSP00000331242",9606,"Homo sapiens","KREMEN1","Kremen protein 1; Receptor for Dickkopf proteins. Cooperates with DKK1/2 to inhibit Wnt/beta-catenin signaling by promoting the endocytosis of Wnt receptors LRP5 and LRP6. In the absence of DKK1, potentiates Wnt-beta- catenin signaling by maintaining LRP5 or LRP6 at the cell membrane. Can trigger apoptosis in a Wnt-independent manner and this apoptotic activity is inhibited upon binding of the ligand DKK1. Plays a role in limb development; attenuates Wnt signaling in the developing limb to allow normal limb patterning and can also negatively regulate bone formation. Modulates cell fate [...] "
"MCEMP1",16,"9606.ENSP00000329920",9606,"Homo sapiens","MCEMP1","Mast cell expressed membrane protein 1."
"MMP8",17,"9606.ENSP00000236826",9606,"Homo sapiens","MMP8","Neutrophil collagenase; Can degrade fibrillar type I, II, and III collagens; Belongs to the peptidase M10A family."
"PCOLCE2",18,"9606.ENSP00000295992",9606,"Homo sapiens","PCOLCE2","Procollagen C-endopeptidase enhancer 2; Binds to the C-terminal propeptide of types I and II procollagens and may enhance the cleavage of that propeptide by BMP1."
"SAA2",19,"9606.ENSP00000436126",9606,"Homo sapiens","SAA2","Serum amyloid A-2 protein; Major acute phase reactant. Apolipoprotein of the HDL complex; Belongs to the SAA family."
"WFDC1",20,"9606.ENSP00000456920",9606,"Homo sapiens","WFDC1","WAP four-disulfide core domain protein 1; Has growth inhibitory activity."
"ANKRD22",22,"9606.ENSP00000360998",9606,"Homo sapiens","ANKRD22","Ankyrin repeat domain 22."
"PPP1R1C",23,"9606.ENSP00000280295",9606,"Homo sapiens","PPP1R1C","Protein phosphatase 1 regulatory subunit 1C; May increase cell susceptibility to TNF-induced apoptosis."
"TPST1",24,"9606.ENSP00000302413",9606,"Homo sapiens","TPST1","Protein-tyrosine sulfotransferase 1; Catalyzes the O-sulfation of tyrosine residues within acidic motifs of polypeptides, using 3'-phosphoadenylyl sulfate (PAPS) as cosubstrate; Belongs to the protein sulfotransferase family."
"ZNF608",25,"9606.ENSP00000307746",9606,"Homo sapiens","ZNF608","Zinc finger protein 608; Transcription factor, which represses ZNF609 transcription."
